MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.94,R,1000,3,1118.862417996656,365.5902469532642,365.5902469532642,365.5902469532642,5040.0,5040,5040,7,3.0,3,3,32199850400.0,32199850400,32199850400
0.94,R,1000,4,923.1774763849733,398.63268848709276,398.63268848709276,398.63268848709276,9316.0,9316,9316,6,4.0,4,4,27996990900.0,27996990900,27996990900
0.94,R,1000,5,968.7056090924348,386.06834350914994,386.06834350914994,386.06834350914994,2463.0,2463,2463,6,3.0,3,3,576944907800.0,576944907800,576944907800
0.94,R,1000,6,910.3661624458184,361.1335001609543,361.1335001609543,361.1335001609543,4154.0,4154,4154,6,3.0,3,3,37926653500.0,37926653500,37926653500
0.94,R,1000,7,1030.3008152544598,361.1335001609543,361.1335001609543,361.1335001609543,8195.0,8195,8195,6,3.0,3,3,33743928500.0,33743928500,33743928500
0.94,R,1000,8,936.4921754597242,379.40234370342034,379.40234370342034,379.40234370342034,1698.0,1698,1698,6,3.0,3,3,8105395110500.0,8105395110500,8105395110500
0.94,R,1000,9,1085.010677854746,372.61326238117863,372.61326238117863,372.61326238117863,8629.0,8629,8629,7,3.0,3,3,36946111600.0,36946111600,36946111600
0.94,R,1000,10,997.467272110134,403.25714795715925,403.25714795715925,403.25714795715925,4959.0,4959,4959,6,4.0,4,4,190736723000.0,190736723000,190736723000
0.94,R,1000,15,981.1708198011427,361.1335001609543,361.1335001609543,361.1335001609543,8278.0,8278,8278,6,3.0,3,3,33245930900.0,33245930900,33245930900
0.94,R,1000,20,1074.182000667522,410.3638272195744,410.3638272195744,410.3638272195744,10702.0,10702,10702,7,4.0,4,4,29962251600.0,29962251600,29962251600
0.94,R,1000,25,1121.887585907208,389.9695114906259,389.9695114906259,389.9695114906259,11571.0,11571,11571,7,3.0,3,3,43531780100.0,43531780100,43531780100
0.94,R,1000,30,1001.7540571636176,399.05051413305983,399.05051413305983,399.05051413305983,12007.0,12007,12007,6,4.0,4,4,30380592800.0,30380592800,30380592800
0.94,R,1000,40,991.9789257026158,406.4260428709766,406.4260428709766,406.4260428709766,15270.0,15270,15270,6,4.0,4,4,31000668300.0,31000668300,31000668300
0.94,R,1000,50,1018.4667698254293,387.4206021596466,387.4206021596466,387.4206021596466,11769.0,11769,11769,7,3.0,3,3,41774933000.0,41774933000,41774933000
0.94,R,1000,60,1135.317260325098,397.9819481608811,397.9819481608811,397.9819481608811,12587.0,12587,12587,7,3.0,3,3,40920695000.0,40920695000,40920695000
0.94,R,1000,70,964.4575193229281,387.4206021596466,387.4206021596466,387.4206021596466,12219.0,12219,12219,6,3.0,3,3,43408946300.0,43408946300,43408946300
0.94,R,1000,80,1002.5260245862252,397.12469009738743,397.12469009738743,397.12469009738743,16105.0,16105,16105,6,4.0,4,4,31513901000.0,31513901000,31513901000
0.94,R,1000,90,988.8815919077942,368.79206161959235,368.79206161959235,368.79206161959235,11680.0,11680,11680,6,3.0,3,3,36791695100.0,36791695100,36791695100
0.94,R,1000,100,980.9886540457724,398.53386429790737,398.53386429790737,398.53386429790737,13921.0,13921,13921,6,4.0,4,4,32064952300.0,32064952300,32064952300
0.94,R,1000,150,1089.063527155102,361.9758066527561,361.9758066527561,361.9758066527561,13108.0,13108,13108,7,3.0,3,3,40027433900.0,40027433900,40027433900
0.94,R,1000,200,935.586380517317,361.1335001609543,361.1335001609543,361.1335001609543,14303.0,14303,14303,6,3.0,3,3,35336035200.0,35336035200,35336035200
0.94,R,1000,300,1005.4611796611769,394.2945820984383,394.2945820984383,394.2945820984383,16620.0,16620,16620,6,4.0,4,4,34713386000.0,34713386000,34713386000
0.94,R,1000,400,950.9681548771313,398.659211471273,398.659211471273,398.659211471273,18089.0,18089,18089,6,4.0,4,4,35001852300.0,35001852300,35001852300
0.94,R,1000,500,1044.0530990933794,398.53386429790737,398.53386429790737,398.53386429790737,17055.0,17055,17055,6,4.0,4,4,33980546100.0,33980546100,33980546100
0.94,R,1000,1000,1020.2390039155014,398.53386429790737,398.53386429790737,398.53386429790737,17787.0,17787,17787,6,4.0,4,4,34739341500.0,34739341500,34739341500
0.94,RS,1000,3,948.9305705536217,398.53386429790737,398.53386429790737,398.53386429790737,3253.0,3253,3253,6,4.0,4,4,28060513400.0,28060513400,28060513400
0.94,RS,1000,4,882.5044302767766,384.25694737896936,384.25694737896936,384.25694737896936,3116.0,3116,3116,6,3.0,3,3,40268186600.0,40268186600,40268186600
0.94,RS,1000,5,1002.6097378903532,361.9758066527561,361.9758066527561,361.9758066527561,5451.0,5451,5451,6,3.0,3,3,38164977300.0,38164977300,38164977300
