MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.97,R,1000,3,977.9151857693248,395.66089877498064,395.66089877498064,395.66089877498064,7065.0,7065,7065,6,4.0,4,4,42785494900.0,42785494900,42785494900
0.97,R,1000,4,985.8190557313579,394.29458209843824,394.29458209843824,394.29458209843824,9384.0,9384,9384,6,4.0,4,4,45260842000.0,45260842000,45260842000
0.97,R,1000,5,903.6132618803898,371.5532592122845,371.5532592122845,371.5532592122845,2043.0,2043,2043,6,3.0,3,3,17123954546800.0,17123954546800,17123954546800
0.97,R,1000,6,1075.7928804289852,400.4168308096023,400.4168308096023,400.4168308096023,12733.0,12733,12733,7,4.0,4,4,43507351900.0,43507351900,43507351900
0.97,R,1000,7,1093.6253473916563,408.3770646423708,408.3770646423708,408.3770646423708,5231.0,5231,5231,7,3.0,3,3,458475584800.0,458475584800,458475584800
0.97,R,1000,8,985.4725021497716,381.07524543689965,381.07524543689965,381.07524543689965,2699.0,2699,2699,6,3.0,3,3,3068201094800.0,3068201094800,3068201094800
0.97,R,1000,9,952.9346823826095,362.82904936057207,362.82904936057207,362.82904936057207,7038.0,7038,7038,6,3.0,3,3,48529954600.0,48529954600,48529954600
0.97,R,1000,10,978.0115808332591,411.85497106447974,411.85497106447974,411.85497106447974,9152.0,9152,9152,6,4.0,4,4,47555586100.0,47555586100,47555586100
0.97,R,1000,15,1090.5737652884475,369.998941361623,369.998941361623,369.998941361623,10118.0,10118,10118,7,3.0,3,3,61161214100.0,61161214100,61161214100
0.97,R,1000,20,1104.3312266403982,361.1335001609543,361.1335001609543,361.1335001609543,8453.0,8453,8453,7,3.0,3,3,52076933500.0,52076933500,52076933500
