MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.9,R,10000,3,998.9238829874283,358.64842232753136,358.37230256826217,361.1335001609543,17620.2,6024,23671,6,3.0,3,3,768928638790.0,663089787600,1143971124600
0.9,R,10000,4,1000.0592103320263,367.5578000615874,358.37230256826217,418.0767552028069,18030.6,1807,50687,6,3.0,3,3,2528296557650.0,768249124400,5120772073500
0.9,R,10000,5,916.7374580856198,372.4597386842645,358.37230256826217,395.71605938102647,4918.7,1632,12421,6,3.0,3,3,5041970974570.0,4919984465200,5086235272400
0.9,R,10000,6,1031.4453146039446,396.50035113880483,370.5534690991902,435.1287546145707,5521.7,836,17211,6,3.3,3,4,5032103277980.0,4911093091800,5074958538500
0.9,R,10000,7,1024.0954099087435,434.68362857132684,434.68362857132684,434.68362857132684,1930.0,1930,1930,6,3.0,3,3,5043220557100.0,5043220557100,5043220557100
0.9,R,10000,8,1018.9660329756016,374.55456373467405,374.55456373467405,374.55456373467405,35558.0,35558,35558,6,3.0,3,3,4532591740000.0,4532591740000,4532591740000
0.9,R,10000,9,1019.2409925838001,449.85506559790304,449.85506559790304,449.85506559790304,777.0,777,777,6,4.0,4,4,3742955552200.0,3742955552200,3742955552200
0.9,R,10000,10,937.9802634245003,381.0353130526607,381.0353130526607,381.0353130526607,23042.0,23042,23042,6,3.0,3,3,3626281392900.0,3626281392900,3626281392900
0.9,R,10000,15,955.462851805873,404.00788597237727,404.00788597237727,404.00788597237727,45983.0,45983,45983,6,3.0,3,3,4286969532600.0,4286969532600,4286969532600
0.9,R,10000,20,1056.0105901347135,397.1328633490298,397.1328633490298,397.1328633490298,69912.0,69912,69912,6,3.0,3,3,398274549400.0,398274549400,398274549400
0.9,R,10000,25,976.5284243675577,380.5110955128084,380.5110955128084,380.5110955128084,56657.0,56657,56657,6,3.0,3,3,4184405170900.0,4184405170900,4184405170900
0.9,R,10000,30,889.3468990603458,407.00404155577496,407.00404155577496,407.00404155577496,67081.0,67081,67081,6,3.0,3,3,3439421116900.0,3439421116900,3439421116900
0.9,R,10000,40,1012.9113055095411,433.91799023332754,433.91799023332754,433.91799023332754,65881.0,65881,65881,6,3.0,3,3,4013628978500.0,4013628978500,4013628978500
0.9,R,10000,50,1066.9641945536814,431.1723682168948,431.1723682168948,431.1723682168948,75472.0,75472,75472,7,3.0,3,3,3843179482500.0,3843179482500,3843179482500
0.9,R,10000,60,862.9948373075792,396.344140460154,396.344140460154,396.344140460154,88199.0,88199,88199,6,3.0,3,3,3519462269600.0,3519462269600,3519462269600
0.9,R,10000,70,985.9462675896391,390.7350653702698,390.7350653702698,390.7350653702698,72543.0,72543,72543,6,3.0,3,3,3844173117800.0,3844173117800,3844173117800
0.9,R,10000,80,903.7620476887168,384.3704114514968,384.3704114514968,384.3704114514968,101978.0,101978,101978,6,3.0,3,3,204698369800.0,204698369800,204698369800
0.9,R,10000,90,983.5378895524523,397.0794652118543,397.0794652118543,397.0794652118543,96054.0,96054,96054,6,3.0,3,3,3522412366400.0,3522412366400,3522412366400
