MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.75,R,10000,3,1009.461342330285,367.6397562134091,367.6397562134091,367.6397562134091,3113.0,3113,3113,6,3.0,3,3,1284831384700.0,1284831384700,1284831384700
0.75,R,10000,4,952.2354023386733,361.03467597176893,361.03467597176893,361.03467597176893,13801.0,13801,13801,6,3.0,3,3,52928055500.0,52928055500,52928055500
0.75,R,10000,5,1121.7175895585058,371.99908607701946,371.99908607701946,371.99908607701946,3472.0,3472,3472,7,3.0,3,3,1796684951300.0,1796684951300,1796684951300
0.75,R,10000,6,984.6597792636258,411.71827418333623,411.71827418333623,411.71827418333623,941.0,941,941,6,3.0,3,3,1803811312300.0,1803811312300,1803811312300
0.75,R,10000,7,1123.9668828618787,386.8572585174293,386.8572585174293,386.8572585174293,4025.0,4025,4025,7,3.0,3,3,1804820199300.0,1804820199300,1804820199300
0.75,R,10000,8,949.3376506187975,408.16417528988455,408.16417528988455,408.16417528988455,5420.0,5420,5420,6,3.0,3,3,1810449897400.0,1810449897400,1810449897400
0.75,R,10000,9,912.8075398512681,366.24459040149287,366.24459040149287,366.24459040149287,23574.0,23574,23574,6,3.0,3,3,1460623367600.0,1460623367600,1460623367600
0.75,R,10000,10,951.519152072887,361.1335001609543,361.1335001609543,361.1335001609543,42283.0,42283,42283,6,3.0,3,3,62831616200.0,62831616200,62831616200
0.75,R,10000,15,1017.4140289943152,409.0191976253278,409.0191976253278,409.0191976253278,31040.0,31040,31040,6,3.0,3,3,1218531748800.0,1218531748800,1218531748800
0.75,R,10000,20,941.6446056002053,402.62868099988117,402.62868099988117,402.62868099988117,33745.0,33745,33745,6,3.0,3,3,1285970157200.0,1285970157200,1285970157200
