MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.98,R,1000,3,973.0009920893093,369.90011717243755,369.90011717243755,369.90011717243755,4504.0,4504,4504,6,3.0,3,3,93630353000.0,93630353000,93630353000
0.98,R,1000,4,1087.6770650809556,400.4168308096023,400.4168308096023,400.4168308096023,6617.0,6617,6617,7,4.0,4,4,84263336800.0,84263336800,84263336800
0.98,R,1000,5,1081.3796030541362,361.0346759717689,361.0346759717689,361.0346759717689,3675.0,3675,3675,7,3.0,3,3,99212968600.0,99212968600,99212968600
0.98,R,1000,6,1061.0910143288484,398.4910067739297,398.4910067739297,398.4910067739297,9814.0,9814,9814,7,4.0,4,4,84984606700.0,84984606700,84984606700
0.98,R,1000,7,1164.007434240202,395.66089877498064,395.66089877498064,395.66089877498064,10227.0,10227,10227,7,4.0,4,4,84793246600.0,84793246600,84793246600
0.98,R,1000,8,995.753828029171,388.8958671115889,388.8958671115889,388.8958671115889,4734.0,4734,4734,6,3.0,3,3,1819509144700.0,1819509144700,1819509144700
0.98,R,1000,9,1153.6579879216486,389.26279321640015,389.26279321640015,389.26279321640015,6474.0,6474,6474,7,3.0,3,3,487336958800.0,487336958800,487336958800
0.98,R,1000,10,1014.0441890644807,419.3002213762711,419.3002213762711,419.3002213762711,2196.0,2196,2196,6,3.0,3,3,26464164092900.0,26464164092900,26464164092900
0.98,R,1000,15,1051.4320084759452,398.53386429790737,398.53386429790737,398.53386429790737,10820.0,10820,10820,7,4.0,4,4,86466621100.0,86466621100,86466621100
0.98,R,1000,20,943.5194455816505,394.29458209843824,394.29458209843824,394.29458209843824,10915.0,10915,10915,6,4.0,4,4,91604091300.0,91604091300,91604091300
0.98,R,1000,25,980.4143574580844,361.9758066527561,361.9758066527561,361.9758066527561,11769.0,11769,11769,6,3.0,3,3,118008011500.0,118008011500,118008011500
0.98,R,1000,30,1011.6155333967044,398.4910067739297,398.4910067739297,398.4910067739297,13827.0,13827,13827,6,4.0,4,4,95022078400.0,95022078400,95022078400
0.98,R,1000,40,1097.6947700061367,404.34979144691096,404.34979144691096,404.34979144691096,11735.0,11735,11735,7,4.0,4,4,94666401600.0,94666401600,94666401600
0.98,R,1000,50,1091.9504537954556,362.82904936057207,362.82904936057207,362.82904936057207,12370.0,12370,12370,7,3.0,3,3,108073151600.0,108073151600,108073151600
