MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.93,R,10000,3,1089.1936132803448,358.37230256826217,358.37230256826217,358.37230256826217,20234.0,20234,20234,7,3.0,3,3,265560145000.0,265560145000,265560145000
0.93,R,10000,4,1070.0553625286811,358.37230256826217,358.37230256826217,358.37230256826217,45963.0,45963,45963,7,3.0,3,3,283515781900.0,283515781900,283515781900
0.93,R,10000,5,990.0257461423298,393.6320105370921,393.6320105370921,393.6320105370921,3541.0,3541,3541,6,3.0,3,3,7383735989900.0,7383735989900,7383735989900
0.93,R,10000,6,933.1894793675613,391.35442116236084,391.35442116236084,391.35442116236084,578.0,578,578,6,3.0,3,3,7382161344800.0,7382161344800,7382161344800
0.93,R,10000,7,1133.330599134452,409.3895882581723,409.3895882581723,409.3895882581723,1677.0,1677,1677,7,3.0,3,3,7326049111700.0,7326049111700,7326049111700
0.93,R,10000,8,1137.6800773727798,389.6674749915165,389.6674749915165,389.6674749915165,14980.0,14980,14980,7,3.0,3,3,7212501554100.0,7212501554100,7212501554100
0.93,R,10000,9,1016.0566648792852,418.0891123677403,418.0891123677403,418.0891123677403,30799.0,30799,30799,6,3.0,3,3,6863828681500.0,6863828681500,6863828681500
0.93,R,10000,10,971.5478518837315,403.15833084995563,403.15833084995563,403.15833084995563,10218.0,10218,10218,6,3.0,3,3,7214748958800.0,7214748958800,7214748958800
0.93,R,10000,15,1029.3060414786194,451.51357661506347,451.51357661506347,451.51357661506347,36527.0,36527,36527,6,4.0,4,4,6695775581900.0,6695775581900,6695775581900
0.93,R,10000,20,993.1653850106438,383.95850230499184,383.95850230499184,383.95850230499184,67003.0,67003,67003,6,3.0,3,3,6360688619900.0,6360688619900,6360688619900
0.93,R,10000,25,1025.1746072798587,371.0284915156493,371.0284915156493,371.0284915156493,71475.0,71475,71475,6,3.0,3,3,4917042236800.0,4917042236800,4917042236800
0.93,R,10000,30,914.6763566435754,410.82092677102554,410.82092677102554,410.82092677102554,62420.0,62420,62420,6,3.0,3,3,4541698237100.0,4541698237100,4541698237100
0.93,R,10000,40,1093.7326587562402,358.37230256826217,358.37230256826217,358.37230256826217,93946.0,93946,93946,7,3.0,3,3,291786188800.0,291786188800,291786188800
0.93,R,10000,50,1144.5629587198814,412.2864903053382,412.2864903053382,412.2864903053382,89188.0,89188,89188,7,3.0,3,3,5849768281500.0,5849768281500,5849768281500
0.93,R,10000,60,961.6127730178252,394.6211594540847,394.6211594540847,394.6211594540847,96449.0,96449,96449,6,3.0,3,3,5867106103800.0,5867106103800,5867106103800
0.93,R,10000,70,1104.1367549028241,392.1457341618681,392.1457341618681,392.1457341618681,95614.0,95614,95614,7,3.0,3,3,5859446734800.0,5859446734800,5859446734800
0.93,R,10000,80,1059.096827763749,388.8003707220016,388.8003707220016,388.8003707220016,101467.0,101467,101467,7,3.0,3,3,5726361579200.0,5726361579200,5726361579200
0.93,R,10000,90,973.3877728042498,415.1562658799721,415.1562658799721,415.1562658799721,92275.0,92275,92275,6,3.0,3,3,5871902103800.0,5871902103800,5871902103800
0.93,R,10000,100,900.7325699639163,436.4095009869071,436.4095009869071,436.4095009869071,95465.0,95465,95465,6,3.0,3,3,5860353892900.0,5860353892900,5860353892900
0.93,R,10000,150,984.4485414439714,633.1559904347989,633.1559904347989,633.1559904347989,18870.0,18870,18870,6,4.0,4,4,7220595845400.0,7220595845400,7220595845400
0.93,R,10000,200,921.8669845022946,420.57757058077766,420.57757058077766,420.57757058077766,111781.0,111781,111781,6,3.0,3,3,4721251802400.0,4721251802400,4721251802400
0.93,R,10000,300,869.1735323734051,377.62453691105566,377.62453691105566,377.62453691105566,123516.0,123516,123516,6,3.0,3,3,5380859049300.0,5380859049300,5380859049300
0.93,R,10000,400,978.0304761081218,365.4433703801276,365.4433703801276,365.4433703801276,147183.0,147183,147183,6,3.0,3,3,319223946700.0,319223946700,319223946700
0.93,R,10000,500,1074.635705312516,358.37230256826217,358.37230256826217,358.37230256826217,136863.0,136863,136863,7,3.0,3,3,322633082300.0,322633082300,322633082300
0.93,R,10000,1000,950.9578643815607,358.37230256826217,358.37230256826217,358.37230256826217,153684.0,153684,153684,6,3.0,3,3,351522461400.0,351522461400,351522461400
0.93,RS,10000,3,1067.348005576469,358.37230256826217,358.37230256826217,358.37230256826217,24724.0,24724,24724,7,3.0,3,3,261143347000.0,261143347000,261143347000
0.93,RS,10000,4,959.3900155360608,358.37230256826217,358.37230256826217,358.37230256826217,57071.0,57071,57071,6,3.0,3,3,300618646300.0,300618646300,300618646300
0.93,RS,10000,5,1036.2023103314964,358.37230256826217,358.37230256826217,358.37230256826217,10298.0,10298,10298,6,3.0,3,3,283903555300.0,283903555300,283903555300
0.93,RS,10000,6,980.0824293604452,358.37230256826217,358.37230256826217,358.37230256826217,22073.0,22073,22073,6,3.0,3,3,320626311600.0,320626311600,320626311600
0.93,RS,10000,7,971.961010544512,358.37230256826217,358.37230256826217,358.37230256826217,55419.0,55419,55419,6,3.0,3,3,423676776000.0,423676776000,423676776000
