MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.8,R,10000,3,945.0811549875956,362.82904936057207,362.82904936057207,362.82904936057207,14837.0,14837,14837,6,3.0,3,3,63253543400.0,63253543400,63253543400
0.8,R,10000,4,1015.4992703895041,358.37230256826217,358.37230256826217,358.37230256826217,21828.0,21828,21828,6,3.0,3,3,70744714000.0,70744714000,70744714000
0.8,R,10000,5,995.9792684388261,368.4275119167349,368.4275119167349,368.4275119167349,4293.0,4293,4293,6,3.0,3,3,2346592525000.0,2346592525000,2346592525000
0.8,R,10000,6,1059.574140048546,367.9057355790254,367.9057355790254,367.9057355790254,2955.0,2955,2955,7,3.0,3,3,2240674136700.0,2240674136700,2240674136700
0.8,R,10000,7,1065.5002848176669,366.34341459067826,366.34341459067826,366.34341459067826,11109.0,11109,11109,7,3.0,3,3,2195291020100.0,2195291020100,2195291020100
0.8,R,10000,8,1001.6367332497146,412.33014162342795,412.33014162342795,412.33014162342795,8185.0,8185,8185,6,3.0,3,3,2348254779000.0,2348254779000,2348254779000
0.8,R,10000,9,945.3184770623759,381.78692131787415,381.78692131787415,381.78692131787415,17711.0,17711,17711,6,3.0,3,3,2197608494300.0,2197608494300,2197608494300
0.8,R,10000,10,989.3631535163216,382.1544315702404,382.1544315702404,382.1544315702404,30678.0,30678,30678,6,3.0,3,3,1894157869600.0,1894157869600,1894157869600
0.8,R,10000,15,915.9436345502602,421.0248541809045,421.0248541809045,421.0248541809045,31151.0,31151,31151,6,3.0,3,3,1823242182500.0,1823242182500,1823242182500
0.8,R,10000,20,966.81276168372,383.2473099152147,383.2473099152147,383.2473099152147,35827.0,35827,35827,6,3.0,3,3,1827642828800.0,1827642828800,1827642828800
0.8,R,10000,25,1059.1798887438174,365.49142276407883,365.49142276407883,365.49142276407883,52828.0,52828,52828,7,3.0,3,3,472966971800.0,472966971800,472966971800
0.8,R,10000,30,1084.3056264068018,387.8127189386546,387.8127189386546,387.8127189386546,52730.0,52730,52730,7,3.0,3,3,1488361598300.0,1488361598300,1488361598300
0.8,R,10000,40,1020.0175303483422,396.0639399983586,396.0639399983586,396.0639399983586,52019.0,52019,52019,6,3.0,3,3,1487639825900.0,1487639825900,1487639825900
0.8,R,10000,50,1007.3546500123662,372.19517990515516,372.19517990515516,372.19517990515516,65309.0,65309,65309,6,3.0,3,3,736112679700.0,736112679700,736112679700
0.8,R,10000,60,985.4920016152473,364.427815322902,364.427815322902,364.427815322902,75158.0,75158,75158,6,3.0,3,3,141975916200.0,141975916200,141975916200
0.8,R,10000,70,1123.1933938257462,378.2041048561415,378.2041048561415,378.2041048561415,71556.0,71556,71556,7,3.0,3,3,1145154020400.0,1145154020400,1145154020400
0.8,R,10000,80,1055.1592367149003,389.88227607715316,389.88227607715316,389.88227607715316,73656.0,73656,73656,7,3.0,3,3,1174461566500.0,1174461566500,1174461566500
0.8,R,10000,90,1082.4353450684143,384.0019760493163,384.0019760493163,384.0019760493163,75363.0,75363,75363,7,3.0,3,3,1147448061000.0,1147448061000,1147448061000
0.8,R,10000,100,961.9407495040219,363.58221699798617,363.58221699798617,363.58221699798617,87327.0,87327,87327,6,3.0,3,3,789078131900.0,789078131900,789078131900
0.8,R,10000,150,1014.435101376542,361.0346759717689,361.0346759717689,361.0346759717689,81382.0,81382,81382,6,3.0,3,3,982702106500.0,982702106500,982702106500
0.8,R,10000,200,997.1599412657441,424.43823742060465,424.43823742060465,424.43823742060465,84132.0,84132,84132,6,4.0,4,4,989377584800.0,989377584800,989377584800
0.8,R,10000,300,1003.8120756204648,395.66089877498064,395.66089877498064,395.66089877498064,123769.0,123769,123769,6,4.0,4,4,100994435000.0,100994435000,100994435000
0.8,R,10000,400,1062.9696366624578,358.37230256826217,358.37230256826217,358.37230256826217,108698.0,108698,108698,7,3.0,3,3,110899984800.0,110899984800,110899984800
0.8,R,10000,500,981.7206058816735,531.4303159318139,531.4303159318139,531.4303159318139,13976.0,13976,13976,6,4.0,4,4,2006147623900.0,2006147623900,2006147623900
0.8,R,10000,1000,903.5485689729258,384.0188175083761,384.0188175083761,384.0188175083761,103881.0,103881,103881,6,3.0,3,3,644125582900.0,644125582900,644125582900
0.8,RS,10000,3,1006.1598872237438,395.66089877498064,395.66089877498064,395.66089877498064,9730.0,9730,9730,6,4.0,4,4,56797543000.0,56797543000,56797543000
0.8,RS,10000,4,1051.5205416142967,358.37230256826217,358.37230256826217,358.37230256826217,7326.0,7326,7326,7,3.0,3,3,70856448500.0,70856448500,70856448500
0.8,RS,10000,5,929.6413160392024,361.1335001609543,361.1335001609543,361.1335001609543,10562.0,10562,10562,6,3.0,3,3,76060802800.0,76060802800,76060802800
0.8,RS,10000,6,937.405676746934,358.37230256826217,358.37230256826217,358.37230256826217,34470.0,34470,34470,6,3.0,3,3,87947114000.0,87947114000,87947114000
0.8,RS,10000,7,940.0039522520708,358.37230256826217,358.37230256826217,358.37230256826217,15960.0,15960,15960,6,3.0,3,3,81930078300.0,81930078300,81930078300
0.8,RS,10000,8,1000.7173146259428,358.37230256826217,358.37230256826217,358.37230256826217,16766.0,16766,16766,6,3.0,3,3,87618567000.0,87618567000,87618567000
0.8,RS,10000,9,924.2854569975057,358.37230256826217,358.37230256826217,358.37230256826217,32779.0,32779,32779,6,3.0,3,3,100559604700.0,100559604700,100559604700
0.8,RS,10000,10,1015.6864842570146,358.37230256826217,358.37230256826217,358.37230256826217,30727.0,30727,30727,6,3.0,3,3,81384702400.0,81384702400,81384702400
0.8,RS,10000,15,956.3649094194611,358.37230256826217,358.37230256826217,358.37230256826217,62171.0,62171,62171,6,3.0,3,3,87505197400.0,87505197400,87505197400
