MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.6,R,10000,3,997.3760530788188,366.65838108741343,358.37230256826217,395.66089877498064,14975.2,4120,27559,6,3.2,3,4,111292246600.0,42506869200,148188292300
0.6,R,10000,4,1012.9435023974737,367.3888095350707,358.37230256826217,395.66089877498064,11144.8,2078,22479,6,3.1,3,4,383202987740.0,120985786900,966899728400
0.6,R,10000,5,1048.1644047376922,381.41576979460217,358.37230256826217,415.84153563598306,10314.3,2095,22140,7,3.1,3,4,596215924180.0,125305449200,948025866100
0.6,R,10000,6,966.1966590798723,391.28839013348323,358.37230256826217,441.5882437136804,7478.7,1637,26741,6,3.0,3,3,777106160940.0,139285448400,971622095200
0.6,R,10000,7,970.8173097763606,388.72531853027795,358.37230256826217,443.25494136391103,8612.6,926,17340,6,3.1,3,4,812232839050.0,166722806600,1055066298100
0.6,R,10000,8,1115.101011946043,394.5988437254287,358.37230256826217,432.3576063454038,9711.6,1025,39185,7,3.1,3,4,776702929140.0,168134226500,949153432300
0.6,R,10000,9,987.0648180614608,402.37988817607396,358.37230256826217,449.41410070007095,10281.2,1521,23429,6,3.1,3,4,806299902150.0,147030092500,938963861600
0.6,R,10000,10,957.9114564481997,375.91499659230055,358.37230256826217,420.75657144082675,18491.6,2814,35307,6,3.0,3,3,586800928050.0,138975798700,914554523500
0.6,R,10000,15,1067.3935437623923,405.8143543234244,358.37230256826217,459.199243379766,19425.7,10768,48833,7,3.1,3,4,680517137220.0,148291411100,806715202300
0.6,R,10000,20,1112.286026193034,417.06810417215667,387.8814425734315,460.44421698834344,23206.0,14259,28555,7,3.4,3,4,649478341440.0,552932297100,766574696200
0.6,R,10000,25,959.4063329028131,380.28363906551976,358.37230256826217,441.1767260433828,34107.4,22767,49731,6,3.0,3,3,429277926090.0,159979190500,713627135200
0.6,R,10000,30,1059.0990154093492,388.41784577969,358.37230256826217,411.6300464091815,37177.8,31211,47145,7,3.2,3,4,388667391880.0,157520434000,516959295400
0.6,R,10000,40,986.8062915877697,400.07859512565693,358.37230256826217,438.9426386387855,38808.1,30816,49049,6,3.0,3,3,405223529520.0,173996475900,537829685100
0.6,R,10000,50,982.7455118042913,391.56236869898726,365.74899068982995,427.2273882674352,43354.4,37125,48574,6,3.0,3,3,381321276010.0,204616842100,534566967600
0.6,R,10000,60,1142.1100304146678,383.3496813717994,367.1980665896755,405.35960906818684,45534.0,41313,49971,7,3.0,3,3,324889858670.0,186852504500,455872283000
0.6,R,10000,70,944.7709969159756,399.05747440894646,371.87499015925084,448.1266954950703,44303.2,37551,49085,6,3.3,3,4,317226622550.0,181441882600,534077804300
0.6,R,10000,80,1080.9116512744777,424.3198329315745,384.87729344532653,448.42019892080395,45658.5,41260,49617,7,3.6,3,4,257190835860.0,178920038200,452268528200
0.6,R,10000,90,1003.7468398028054,435.9841034943005,394.7885619500694,461.3236653789734,43848.7,40683,47618,6,3.6,3,4,305548275680.0,197680465600,395434469800
0.6,R,10000,100,1084.868154896225,457.51810925773344,434.93756596766343,471.1357136341619,46511.6,42264,49538,7,3.8,3,4,219766529310.0,191503417200,346545507600
0.6,R,10000,150,975.8292343884091,495.3664318768626,476.3638657264457,510.5905646491474,44291.5,40527,49680,6,4.0,4,4,223033569850.0,202407194900,248776669200
0.6,R,10000,200,889.2895796148283,499.1638398586304,412.3229063373668,524.860483654635,41854.2,31358,47989,6,3.9,3,4,238356317050.0,206091139300,367718697800
0.6,R,10000,300,1060.8081565032712,517.3245778700909,500.045449708216,529.6195634416143,42545.1,32473,49080,7,4.0,4,4,233069038960.0,217775810000,257468160300
0.6,R,10000,400,1011.247075022925,530.5193645469556,506.25966176900124,568.6420879588079,42340.5,15033,49367,6,4.0,4,4,301455142560.0,223194342300,821515211700
0.6,R,10000,500,1057.9181679088485,539.4294684322298,503.62874069546774,563.731910774218,37087.6,20067,48713,7,4.0,4,4,231883525810.0,203640069400,268902918400
0.6,R,10000,1000,1014.8253762482249,555.6632294770808,517.7557140247602,660.9487857698084,38576.7,19314,49635,7,4.1,4,5,276843960380.0,213767148800,675403666200
0.6,RS,10000,3,1098.4447325638441,383.0368259311369,358.37230256826217,401.57324162737575,14201.9,3619,25044,7,3.6,3,4,127743239680.0,106062050600,161444204200
0.6,RS,10000,4,1006.9182919721372,368.8602413262585,358.37230256826217,398.7513288907482,15473.3,7792,29206,6,3.2,3,4,145936212910.0,106906298200,165860997900
0.6,RS,10000,5,1090.8180725110842,362.91963904782307,358.37230256826217,395.66089877498064,13695.5,4603,32203,7,3.1,3,4,163820755480.0,121944971900,218676830900
0.6,RS,10000,6,1055.3950280327617,366.6676041988917,358.37230256826217,401.1533801774365,18743.2,7992,27285,7,3.1,3,4,171125754980.0,126122882400,246358631700
0.6,RS,10000,7,1014.3367650407632,361.7387397811602,358.37230256826217,383.8519061083515,24699.3,12253,32682,6,3.0,3,3,168303552840.0,137144360400,219745682500
0.6,RS,10000,8,1019.3508045855644,365.49777767738925,358.37230256826217,407.83924410282657,20266.2,2736,36787,6,3.1,3,4,250711542310.0,126981240300,1005907562000
0.6,RS,10000,9,1072.7062596437333,365.51203550526617,358.37230256826217,398.2098081059599,27744.7,17474,49251,7,3.1,3,4,165845803100.0,118089141600,194137253800
0.6,RS,10000,10,1111.2164408595893,363.82423312769095,358.37230256826217,395.66089877498064,25123.5,14515,42441,7,3.1,3,4,175144530040.0,131634990700,270300815100
0.6,RS,10000,15,941.5671690770255,367.09770042762176,358.37230256826217,401.6180572319762,32186.6,22360,42081,6,3.2,3,4,164137741810.0,129848063300,229806640600
0.6,RS,10000,20,952.210864563909,371.1502893894193,358.37230256826217,403.5760520956943,36836.2,24177,46414,6,3.2,3,4,222031802550.0,147473303700,666771400100
0.6,RS,10000,25,1072.6423171365598,363.37167208685,358.37230256826217,397.4200315725582,42131.6,35664,48224,7,3.1,3,4,171481664970.0,146529206900,186243657300
