MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.91,R,10000,3,914.0871480610716,363.7458660837477,358.37230256826217,383.867136590337,16637.3,5980,28256,6,3.0,3,3,1460781101680.0,767742636900,5439431796900
0.91,R,10000,4,1013.6125918644864,365.37160101059834,358.37230256826217,391.4205334574209,11049.7,2239,19529,6,3.0,3,3,2821098747000.0,879348506700,5873123047500
0.91,R,10000,5,912.8218116072227,380.0398057295937,358.37230256826217,421.31933849747963,13588.5,1682,33379,6,3.0,3,3,4759569753720.0,998681406400,5904933318400
0.91,R,10000,6,1027.1170027020069,395.8006911884964,358.37230256826217,427.30672195564375,6951.9,1574,35672,6,3.0,3,3,5718453988480.0,5094784775800,5806108276300
0.91,R,10000,7,917.2686381954647,371.243260297903,371.243260297903,371.243260297903,7054.0,7054,7054,6,3.0,3,3,5589510399100.0,5589510399100,5589510399100
0.91,R,10000,8,1046.3486703664105,416.8673835797682,416.8673835797682,416.8673835797682,6001.0,6001,6001,7,3.0,3,3,5766202331100.0,5766202331100,5766202331100
0.91,R,10000,9,955.9930752288518,398.6591761112105,398.6591761112105,398.6591761112105,31460.0,31460,31460,6,3.0,3,3,5240848772700.0,5240848772700,5240848772700
0.91,R,10000,10,1081.6134252761285,402.5481320387077,402.5481320387077,402.5481320387077,17716.0,17716,17716,7,3.0,3,3,5594661729200.0,5594661729200,5594661729200
0.91,R,10000,15,1013.5653068796862,420.1950444498625,420.1950444498625,420.1950444498625,25677.0,25677,25677,6,3.0,3,3,5421479019200.0,5421479019200,5421479019200
0.91,R,10000,20,1094.330572257244,370.53549160922876,370.53549160922876,370.53549160922876,57861.0,57861,57861,7,3.0,3,3,4907842179600.0,4907842179600,4907842179600
0.91,R,10000,25,975.6249797230892,384.037067432631,384.037067432631,384.037067432631,66247.0,66247,66247,6,3.0,3,3,4743216917500.0,4743216917500,4743216917500
0.91,R,10000,30,974.400129048573,411.74049811972066,411.74049811972066,411.74049811972066,67491.0,67491,67491,6,3.0,3,3,4738934620300.0,4738934620300,4738934620300
0.91,R,10000,40,879.2269434597664,406.31485072626083,406.31485072626083,406.31485072626083,77951.0,77951,77951,6,3.0,3,3,4441956110500.0,4441956110500,4441956110500
0.91,R,10000,50,993.8232686453991,433.37550205559126,433.37550205559126,433.37550205559126,72907.0,72907,72907,6,3.0,3,3,4564468737600.0,4564468737600,4564468737600
0.91,R,10000,60,1081.5352895650162,434.6601422834247,434.6601422834247,434.6601422834247,81747.0,81747,81747,7,4.0,4,4,4397213938000.0,4397213938000,4397213938000
0.91,R,10000,70,924.7159479082134,358.37230256826217,358.37230256826217,358.37230256826217,92210.0,92210,92210,6,3.0,3,3,4224390358100.0,4224390358100,4224390358100
0.91,R,10000,80,1042.8753439202155,391.7191895956251,391.7191895956251,391.7191895956251,91594.0,91594,91594,6,3.0,3,3,4224077884100.0,4224077884100,4224077884100
0.91,R,10000,90,934.9855910678316,382.872526511914,382.872526511914,382.872526511914,97324.0,97324,97324,6,3.0,3,3,4240882845900.0,4240882845900,4240882845900
0.91,R,10000,100,1000.5250271160007,377.2784519792383,377.2784519792383,377.2784519792383,91600.0,91600,91600,6,3.0,3,3,4234690412200.0,4234690412200,4234690412200
0.91,R,10000,150,857.9587663072948,368.0033509816051,368.0033509816051,368.0033509816051,103846.0,103846,103846,6,3.0,3,3,4061414661700.0,4061414661700,4061414661700
0.91,R,10000,200,887.5800964864892,517.3669924882662,517.3669924882662,517.3669924882662,23463.0,23463,23463,6,4.0,4,4,4921336137100.0,4921336137100,4921336137100
0.91,R,10000,300,914.5998677969901,388.8055412016664,388.8055412016664,388.8055412016664,115776.0,115776,115776,6,3.0,3,3,3854228034800.0,3854228034800,3854228034800
0.91,R,10000,400,1060.0363465148139,426.97810611941213,426.97810611941213,426.97810611941213,118522.0,118522,118522,7,3.0,3,3,3905447251700.0,3905447251700,3905447251700
0.91,R,10000,500,1042.2312202643511,368.640437661414,368.640437661414,368.640437661414,121790.0,121790,121790,6,3.0,3,3,3719919642500.0,3719919642500,3719919642500
0.91,R,10000,1000,918.7205673518215,374.0237405804438,374.0237405804438,374.0237405804438,130985.0,130985,130985,6,3.0,3,3,3561790885100.0,3561790885100,3561790885100
0.91,RS,10000,3,1074.8927543076286,398.53386429790737,398.53386429790737,398.53386429790737,54327.0,54327,54327,7,4.0,4,4,148665072400.0,148665072400,148665072400
0.91,RS,10000,4,1002.5881063776651,358.37230256826217,358.37230256826217,358.37230256826217,24918.0,24918,24918,6,3.0,3,3,185851998000.0,185851998000,185851998000
