MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.99,R,1000,5,938.5057857399868,381.6115794421388,381.6115794421388,381.6115794421388,993.0,993,993,6,3.0,3,3,54003511232300.0,54003511232300,54003511232300
0.99,R,1000,10,956.943923143528,460.2978640277511,460.2978640277511,460.2978640277511,4126.0,4126,4126,6,3.0,3,3,53464396111900.0,53464396111900,53464396111900
0.99,R,1000,400,993.8979168576956,404.9743186412773,404.9743186412773,404.9743186412773,12772.0,12772,12772,6,3.0,3,3,51855434965000.0,51855434965000,51855434965000
