MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.92,R,10000,3,982.7289457827796,361.1335001609543,361.1335001609543,361.1335001609543,27940.0,27940,27940,6,3.0,3,3,242612681300.0,242612681300,242612681300
0.92,R,10000,4,1143.0096459291835,365.49142276407883,365.49142276407883,365.49142276407883,11688.0,11688,11688,7,3.0,3,3,6187058781200.0,6187058781200,6187058781200
0.92,R,10000,5,1069.9618642972002,417.74712344579495,417.74712344579495,417.74712344579495,2572.0,2572,2572,7,3.0,3,3,6322345350200.0,6322345350200,6322345350200
0.92,R,10000,6,1041.4872855638807,380.9567048114722,380.9567048114722,380.9567048114722,1734.0,1734,1734,6,3.0,3,3,6490346876900.0,6490346876900,6490346876900
0.92,R,10000,7,1192.7229882847075,434.0319862897416,434.0319862897416,434.0319862897416,4353.0,4353,4353,7,4.0,4,4,6311468108500.0,6311468108500,6311468108500
0.92,R,10000,8,1046.222073091916,410.74736477451984,410.74736477451984,410.74736477451984,10470.0,10470,10470,7,3.0,3,3,6307739434200.0,6307739434200,6307739434200
0.92,R,10000,9,1004.8515455800577,398.0260382866053,398.0260382866053,398.0260382866053,21880.0,21880,21880,6,3.0,3,3,6140490088200.0,6140490088200,6140490088200
0.92,R,10000,10,925.0263460972947,423.327763237751,423.327763237751,423.327763237751,16156.0,16156,16156,6,3.0,3,3,6240365100700.0,6240365100700,6240365100700
0.92,R,10000,15,952.6171312955115,463.04613805234624,463.04613805234624,463.04613805234624,30691.0,30691,30691,6,3.0,3,3,5968517065200.0,5968517065200,5968517065200
0.92,R,10000,20,991.2986232265123,379.9412420574264,379.9412420574264,379.9412420574264,69959.0,69959,69959,6,3.0,3,3,4906890992400.0,4906890992400,4906890992400
0.92,R,10000,25,991.9461689796558,411.45892902368007,411.45892902368007,411.45892902368007,73568.0,73568,73568,6,3.0,3,3,5210123358400.0,5210123358400,5210123358400
0.92,R,10000,30,1094.4265961379058,358.37230256826217,358.37230256826217,358.37230256826217,80995.0,80995,80995,7,3.0,3,3,252616889700.0,252616889700,252616889700
0.92,R,10000,40,963.1614282067393,439.6638763925803,439.6638763925803,439.6638763925803,70499.0,70499,70499,6,3.0,3,3,5300725310700.0,5300725310700,5300725310700
0.92,R,10000,50,1070.4599734318003,422.27259994612166,422.27259994612166,422.27259994612166,70483.0,70483,70483,7,3.0,3,3,5293724136200.0,5293724136200,5293724136200
0.92,R,10000,60,979.6348251791926,419.8168071990487,419.8168071990487,419.8168071990487,77043.0,77043,77043,6,3.0,3,3,5299768634900.0,5299768634900,5299768634900
0.92,R,10000,70,975.7840780461428,386.6370998553068,386.6370998553068,386.6370998553068,94865.0,94865,94865,6,3.0,3,3,4955471937700.0,4955471937700,4955471937700
