size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%),
0,0,1269.444135428872,1183.393094411687,1368.2283607480156,0.0,0.0,0.0,9.000301361083984e-07,0.0,3.6001205444335937e-06,0.0,8.575,7.5,9.5,0.0,0.0,
0,40,628.8618209892896,567.360624132801,688.4727254826896,23.05,19.2,27.4,12.743115150928498,10.390332889556884,15.031842708587646,2.7,6.025,5.5,6.6,96.41730999999999,3.5826900000000004,
0,160,617.0469945908183,576.7945990005348,654.2539960580256,22.95,18.4,29.4,12.308867383003236,9.539661121368407,15.5149245262146,2.375,5.875,5.3,6.5,96.72496,3.2750399999999997,
0,640,631.6738068729098,578.0380747843154,703.8485185370429,22.725,18.0,27.7,12.17755972146988,9.687341141700745,14.712464451789856,2.575,5.95,5.5,6.5,96.89599000000001,3.10401,
4,0,1276.11743921811,1192.1038502100096,1362.8102947016016,0.0,0.0,0.0,2.5004148483276367e-05,0.0,0.00010001659393310547,0.0,9.0,8.2,9.8,0.0,0.0,
4,40,611.2222921532041,577.2779502430265,655.4844216596478,37.225,33.3,40.0,20.946743661165236,17.883164095878602,24.04885470867157,2.875,5.95,5.4,6.4,92.06557,7.934430000000001,
4,160,587.9908114498041,541.9312533158945,638.1687659684982,49.775,34.4,66.6,28.836233574151994,19.306137800216675,39.81548361778259,2.625,5.85,5.2,6.4,90.05751000000001,9.94249,
4,640,605.6532387790461,566.8108915008997,649.7459430782568,74.9,35.8,170.9,44.93299058675766,19.626049280166626,107.74341521263122,2.85,5.85,5.4,6.1,87.98841999999999,12.011579999999999,
16,0,1249.2906364322398,1166.085489899538,1330.6436211778132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.675,7.9,9.4,0.0,0.0,
16,40,599.1852312781215,569.900850680481,637.0490371915881,39.575,38.3,40.0,22.130587977170944,20.320650625228883,24.199700260162352,2.825,5.95,5.5,6.3,91.03771,8.96229,
16,160,590.6398152468139,542.6387461516736,642.05678137512,135.025,92.9,156.6,83.29608306884765,58.022767543792725,98.77323305606842,2.7,5.55,5.2,5.9,81.97838,18.021620000000002,
16,640,591.5280932722329,558.813503919998,626.2096329360857,355.625,226.9,492.6,220.25211886763572,142.58891613483428,307.85837683677676,3.0,5.575,4.9,6.1,80.01789,19.982110000000002,
64,0,1238.033103255267,1126.0465429047388,1347.300237909469,0.0,0.0,0.0,5.034208297729492e-05,0.0,0.0002013683319091797,0.0,8.625,7.5,9.9,0.0,0.0,
64,40,592.9872508224046,563.9508629590466,627.2000719775085,40.0,40.0,40.0,22.221550595760345,20.54015040397644,23.409967923164366,2.775,5.95,5.3,6.3,91.0,9.0,
64,160,588.2820863081154,551.7397810038943,630.6199715988456,141.15,120.3,148.9,87.85031697750091,72.81318998336792,95.3829931974411,2.8,5.8,5.3,6.4,75.31282,24.68718,
64,640,578.2262408510171,543.0603636077126,612.3901423500027,411.675,280.0,535.7,258.6912876069546,176.47446343898773,339.3071170568466,2.95,5.575,5.2,6.2,71.35752,28.64248,
