size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,3772.2748219993846,3772.2748219993846,3772.2748219993846,0.0,0,0,0.0,0.0,0.0,0.0,9.0,9,9,0,0
0,40,1703.8196960281812,1703.8196960281812,1703.8196960281812,40.0,40,40,542.1304438114166,542.1304438114166,542.1304438114166,0.0,7.0,7,7,100.0,0.0
0,160,1359.5322999622254,1359.5322999622254,1359.5322999622254,109.0,109,109,1750.2026135921478,1750.2026135921478,1750.2026135921478,0.0,8.0,8,8,99.0826,0.9174
0,640,1259.273059714621,1259.273059714621,1259.273059714621,94.0,94,94,1786.0845046043396,1786.0845046043396,1786.0845046043396,2.0,6.0,6,6,97.8723,2.1277
4,0,3433.2835276303936,3433.2835276303936,3433.2835276303936,0.0,0,0,0.0,0.0,0.0,0.0,8.0,8,8,0,0
4,40,1760.0019563305616,1760.0019563305616,1760.0019563305616,40.0,40,40,722.6567659378052,722.6567659378052,722.6567659378052,0.0,8.0,8,8,97.5,2.5
4,160,1351.566177715507,1351.566177715507,1351.566177715507,113.0,113,113,2426.0645015239716,2426.0645015239716,2426.0645015239716,1.0,8.0,8,8,91.1504,8.8496
4,640,1343.2418712111933,1343.2418712111933,1343.2418712111933,124.0,124,124,2474.1886904239655,2474.1886904239655,2474.1886904239655,3.0,7.0,7,7,96.7742,3.2258
16,0,3419.4502991558975,3419.4502991558975,3419.4502991558975,0.0,0,0,0.0,0.0,0.0,0.0,8.0,8,8,0,0
16,40,1793.7048708151215,1793.7048708151215,1793.7048708151215,40.0,40,40,542.391369342804,542.391369342804,542.391369342804,0.0,8.0,8,8,100.0,0.0
16,160,1264.2954872606233,1264.2954872606233,1264.2954872606233,119.0,119,119,2039.706988811493,2039.706988811493,2039.706988811493,2.0,7.0,7,7,86.5546,13.4454
16,640,1255.219627300502,1255.219627300502,1255.219627300502,441.0,441,441,8793.283282518387,8793.283282518387,8793.283282518387,1.0,7.0,7,7,85.034,14.966
64,0,3329.733080832717,3329.733080832717,3329.733080832717,0.0,0,0,0.0,0.0,0.0,0.0,7.0,7,7,0,0
64,40,1769.8398069048087,1769.8398069048087,1769.8398069048087,40.0,40,40,792.5417919158936,792.5417919158936,792.5417919158936,0.0,7.0,7,7,97.5,2.5
64,160,1282.6675562742603,1282.6675562742603,1282.6675562742603,160.0,160,160,2771.0213367938995,2771.0213367938995,2771.0213367938995,4.0,7.0,7,7,83.125,16.875
64,640,1228.9552000484734,1228.9552000484734,1228.9552000484734,640.0,640,640,13308.41717171669,13308.41717171669,13308.41717171669,1.0,9.0,9,9,73.2812,26.7188
