size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,3510.5815271772594,3510.5815271772594,3510.5815271772594,0.0,0,0,0.00013947486877441406,0.00013947486877441406,0.00013947486877441406,0.0,35.0,35,35,0,0
0,40,2171.880493820377,2171.880493820377,2171.880493820377,40.0,40,40,1023.1251695156097,1023.1251695156097,1023.1251695156097,9.0,26.0,26,26,100.0,0.0
0,160,1627.752801889251,1627.752801889251,1627.752801889251,99.0,99,99,2298.7167439460754,2298.7167439460754,2298.7167439460754,15.0,21.0,21,21,100.0,0.0
0,640,1672.3630631232659,1672.3630631232659,1672.3630631232659,92.0,92,92,2168.8748466968536,2168.8748466968536,2168.8748466968536,13.0,22.0,22,22,100.0,0.0
4,0,3698.9150183537317,3698.9150183537317,3698.9150183537317,0.0,0,0,0.0001430511474609375,0.0001430511474609375,0.0001430511474609375,0.0,36.0,36,36,0,0
4,40,2222.9785363783535,2222.9785363783535,2222.9785363783535,40.0,40,40,1028.3359248638153,1028.3359248638153,1028.3359248638153,9.0,28.0,28,28,100.0,0.0
4,160,1619.5262485738854,1619.5262485738854,1619.5262485738854,101.0,101,101,2368.239688396454,2368.239688396454,2368.239688396454,16.0,20.0,20,20,100.0,0.0
4,640,1619.1626559873257,1619.1626559873257,1619.1626559873257,106.0,106,106,2373.348186969757,2373.348186969757,2373.348186969757,16.0,20.0,20,20,100.0,0.0
16,0,3789.6154412773867,3789.6154412773867,3789.6154412773867,0.0,0,0,0.0001418590545654297,0.0001418590545654297,0.0001418590545654297,0.0,37.0,37,37,0,0
16,40,2013.511697733989,2013.511697733989,2013.511697733989,40.0,40,40,1011.5877618789673,1011.5877618789673,1011.5877618789673,13.0,25.0,25,25,100.0,0.0
16,160,1618.5829614894224,1618.5829614894224,1618.5829614894224,160.0,160,160,4166.097964048386,4166.097964048386,4166.097964048386,15.0,20.0,20,20,97.5,2.5
64,0,3571.942391375626,3571.942391375626,3571.942391375626,0.0,0,0,0.00012302398681640625,0.00012302398681640625,0.00012302398681640625,0.0,37.0,37,37,0,0
64,40,2123.7084865962156,2123.7084865962156,2123.7084865962156,40.0,40,40,1025.911464214325,1025.911464214325,1025.911464214325,8.0,28.0,28,28,100.0,0.0
64,160,1647.7607792023623,1647.7607792023623,1647.7607792023623,160.0,160,160,3873.215404987335,3873.215404987335,3873.215404987335,11.0,21.0,21,21,97.5,2.5
