size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,3201.539055350468,3201.539055350468,3201.539055350468,0.0,0,0,0.0,0.0,0.0,0.0,21.0,21,21,0,0
0,40,1733.8272087816893,1733.8272087816893,1733.8272087816893,40.0,40,40,678.5221800804138,678.5221800804138,678.5221800804138,1.0,20.0,20,20,100.0,0.0
0,160,1139.632120146894,1139.632120146894,1139.632120146894,124.0,124,124,2541.681257009506,2541.681257009506,2541.681257009506,9.0,13.0,13,13,95.9677,4.0323
0,640,1186.5008006699122,1186.5008006699122,1186.5008006699122,102.0,102,102,1722.2412943840027,1722.2412943840027,1722.2412943840027,8.0,13.0,13,13,99.0196,0.9804
4,0,3185.730697837168,3185.730697837168,3185.730697837168,0.0,0,0,0.0,0.0,0.0,0.0,20.0,20,20,0,0
4,40,1620.5492544009626,1620.5492544009626,1620.5492544009626,40.0,40,40,637.2597646713257,637.2597646713257,637.2597646713257,1.0,19.0,19,19,100.0,0.0
4,160,1212.8719615237098,1212.8719615237098,1212.8719615237098,141.0,141,141,2515.572164773941,2515.572164773941,2515.572164773941,7.0,14.0,14,14,97.8723,2.1277
4,640,1124.9715364225244,1124.9715364225244,1124.9715364225244,152.0,152,152,2584.131171941757,2584.131171941757,2584.131171941757,10.0,13.0,13,13,99.3421,0.6579
16,0,3183.1490032273587,3183.1490032273587,3183.1490032273587,0.0,0,0,0.0,0.0,0.0,0.0,20.0,20,20,0,0
16,40,1759.4979588131941,1759.4979588131941,1759.4979588131941,40.0,40,40,649.5737996101379,649.5737996101379,649.5737996101379,3.0,19.0,19,19,100.0,0.0
16,160,1102.4005682988218,1102.4005682988218,1102.4005682988218,160.0,160,160,3032.193540096283,3032.193540096283,3032.193540096283,9.0,12.0,12,12,96.25,3.75
64,0,3306.9111373793116,3306.9111373793116,3306.9111373793116,0.0,0,0,0.0,0.0,0.0,0.0,21.0,21,21,0,0
64,40,1754.5238491308137,1754.5238491308137,1754.5238491308137,40.0,40,40,770.8135151863098,770.8135151863098,770.8135151863098,0.0,20.0,20,20,100.0,0.0
64,160,1076.672327908342,1076.672327908342,1076.672327908342,160.0,160,160,3315.937893152237,3315.937893152237,3315.937893152237,8.0,12.0,12,12,90.0,10.0
