size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,1018.6558568318962,906.096543887068,1126.6034982496137,0.0,0,0,0.0,0.0,0.0,0.0,7.0,6,8,0,0
0,40,479.06745366446404,445.704107732166,521.2303556163176,27.0,26,30,13.37331485748291,12.169997692108154,14.206000089645386,1.75,5.25,5,6,96.2963,3.7037
0,160,454.68677879934353,441.1879058431275,473.26879593225436,27.0,24,32,12.517867624759674,11.621682405471802,14.148935317993164,2.25,4.75,4,5,99.0741,0.9259
0,640,466.92620661087653,440.735639479272,494.8940857322028,28.0,24,32,15.307642638683319,11.204540967941284,19.63437032699585,1.75,5.0,5,5,96.4286,3.5714
4,0,1052.956754582899,1003.4451695470257,1105.405640342979,0.0,0,0,0.0,0.0,0.0,0.0,7.25,7,8,0,0
4,40,446.79819890665283,436.433483109272,462.703483501372,40.0,40,40,20.90391182899475,17.77559804916382,23.17159128189087,2.5,4.75,4,5,91.25,8.75
4,160,443.9249759795989,432.8903233630901,453.35475000020654,61.75,48,84,36.0345321893692,26.604766130447388,49.33846926689148,2.0,4.75,4,5,91.498,8.502
4,640,472.03202535908366,439.5029148482988,540.4058675269107,47.0,40,58,25.035884261131287,20.1047523021698,32.28281617164612,2.0,5.0,5,5,88.8298,11.1702
16,0,976.4595088180865,904.6912535076262,1051.2249749484085,0.0,0,0,0.0,0.0,0.0,0.0,7.0,7,7,0,0
16,40,474.92955649781845,462.74901191190617,499.49775459782086,40.0,40,40,22.618131637573242,21.12782311439514,24.605048656463623,2.0,5.0,5,5,91.875,8.125
16,160,454.0822766209483,444.6103691942461,459.27283026401636,158.5,154,160,95.31372135877609,92.92674946784973,99.31269645690918,1.75,5.0,5,5,88.6435,11.3565
16,640,437.1521014757747,414.0942690474473,454.3408423511336,610.5,522,640,373.3585271835327,316.5755789279938,394.0906591415405,2.0,4.75,4,5,85.4627,14.5373
64,0,1032.2395926645,941.2973192869138,1115.003472324279,0.0,0,0,0.0,0.0,0.0,0.0,7.0,7,7,0,0
64,40,490.5708209553602,480.1140012549571,499.3514971381011,40.0,40,40,21.13391476869583,19.14486336708069,23.276607275009155,1.25,5.5,5,6,91.875,8.125
64,160,454.2098548554211,428.12328905558894,475.7295558636007,160.0,160,160,94.80739039182663,92.93153977394104,96.30086421966553,2.0,5.0,4,6,78.5938,21.4062
64,640,447.1800085913277,418.41335596594706,465.4400305941388,573.25,373,640,350.122505068779,225.6387755870819,396.09430265426636,2.0,4.75,4,6,68.6437,31.3563
