size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,1123.0325198195542,1106.1702524789207,1157.909870767175,0.0,0,0,0.0,0.0,0.0,0.0,15.25,14,16,0,0
0,40,691.7971119208536,682.0534548509409,701.0853312559794,19.5,18,21,16.193816781044006,14.490537405014038,18.772013902664185,4.5,10.0,10,10,100.0,0.0
0,160,691.7648153498919,682.8954111674062,696.4904878801897,17.25,14,21,13.457777082920074,10.935725450515747,16.372238874435425,4.0,10.0,10,10,100.0,0.0
0,640,700.7297405046418,682.0534548509409,726.6428533414984,19.0,16,20,14.797805607318878,12.621068477630615,15.90485668182373,5.25,10.0,10,10,100.0,0.0
4,0,1132.2116579372114,1008.6962943352625,1231.1724062668502,0.0,0,0,0.0,0.0,0.0,0.0,16.0,15,17,0,0
4,40,692.4971806826924,682.0534548509409,713.015025924175,35.0,29,40,27.651443541049957,23.94204592704773,31.783955097198486,6.0,10.0,10,10,100.0,0.0
4,160,699.1418695487553,682.8954111674062,720.497828293855,30.5,23,45,24.437738299369812,18.21562170982361,35.000184297561646,4.25,10.0,10,10,100.0,0.0
4,640,701.9289287376822,682.8954111674062,732.1082990694291,29.25,22,35,19.835314691066742,14.747522830963135,22.986767053604126,5.5,10.0,10,10,100.0,0.0
16,0,1127.7461667376288,1091.232018511286,1179.6545964501274,0.0,0,0,0.0,0.0,0.0,0.0,16.0,15,17,0,0
16,40,700.9672017758248,682.0534548509409,722.7984047914198,40.0,40,40,26.03196620941162,25.77259874343872,26.275463342666626,5.75,10.0,10,10,100.0,0.0
16,160,696.8105197153317,682.8954111674062,708.561159275056,143.25,93,160,89.09836757183075,67.73925590515137,104.80758333206177,6.25,10.0,10,10,100.0,0.0
16,640,694.2383565880991,682.8954111674062,709.7434706796031,475.75,170,640,263.5948413014412,96.16624474525452,355.20581889152527,4.75,10.0,10,10,100.0,0.0
64,0,1193.1014818009794,1157.2106987635843,1228.0464873047094,0.0,0,0,0.0,0.0,0.0,0.0,17.0,16,19,0,0
64,40,702.6823609281624,695.4019341327631,720.4978282938552,40.0,40,40,24.909097373485565,23.062130212783813,26.188528537750244,5.75,10.0,10,10,100.0,0.0
64,160,699.3551951904886,682.8954111674062,721.1387580056202,46.0,43,49,28.7314755320549,27.594319581985474,30.653924465179443,6.0,10.0,10,10,100.0,0.0
64,640,714.1103785002192,684.3616090674913,729.4950738297537,44.5,39,48,30.148034930229187,26.591490268707275,34.66196417808533,5.0,10.0,10,10,100.0,0.0
