size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
16,640,1624.5034157748476,1624.5034157748476,1624.5034157748476,640.0,640,640,18231.994784593582,18231.994784593582,18231.994784593582,14.0,21.0,21,21,98.75,1.25
64,640,1669.3354663657296,1669.3354663657296,1669.3354663657296,640.0,640,640,18944.46508860588,18944.46508860588,18944.46508860588,15.0,20.0,20,20,66.25,33.75
