size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,1036.1120562868932,1012.8510422555865,1051.3877648211414,0.0,0,0,0.0,0.0,0.0,0.0,8.0,8,8,0,0
0,40,510.6833866069361,457.8058403732588,560.7193130800157,24.75,19,33,14.010544121265411,9.983307838439941,18.691924333572388,3.25,5.75,5,7,96.9697,3.0303
0,160,508.89153262920865,464.0611634993696,558.8900597515577,25.0,16,36,14.154789507389069,8.169801950454712,20.090172290802002,2.25,5.5,5,6,97.0,3.0
0,640,529.2234875333827,484.8865313281241,566.4216556465835,25.75,20,30,13.95797997713089,11.31078052520752,16.994930028915405,3.0,5.75,5,6,97.0874,2.9126
4,0,1075.5109871763607,1043.8075705826075,1102.7066561469894,0.0,0,0,0.0,0.0,0.0,0.0,9.5,9,10,0,0
4,40,503.1319627395801,474.26593080122916,544.1777983228674,37.75,31,40,22.14228230714798,19.940226793289185,27.479422569274902,3.5,5.25,5,6,95.3642,4.6358
4,160,518.059631011934,484.53062914020785,555.8040412079099,44.5,32,52,24.844705283641815,17.480109453201294,33.09350061416626,2.5,6.0,5,7,94.382,5.618
4,640,476.67413060225863,466.85943935491883,483.2652291800689,63.75,56,70,32.19921696186066,26.369436740875244,36.97437286376953,3.75,5.75,5,6,95.6863,4.3137
16,0,1052.1344627186913,1025.7849836822377,1099.518587503545,0.0,0,0,0.0,0.0,0.0,0.0,8.75,8,9,0,0
16,40,492.0290079244443,477.3162662971025,529.0418437264639,40.0,40,40,21.303278386592865,19.435237884521484,23.91224956512451,3.5,5.75,5,7,95.0,5.0
16,160,476.53778888661645,444.06379024321217,536.5352439235595,140.75,83,160,89.88467574119568,52.35007405281067,109.05220437049866,3.5,5.0,5,5,88.2771,11.7229
16,640,459.5114604092569,456.09010933164257,462.4576341809093,485.25,312,640,333.0082072019577,221.99045634269714,436.20730781555176,3.25,5.0,5,5,83.2561,16.7439
64,0,1097.5983924807133,1057.7188335863093,1145.2180763375516,0.0,0,0,0.0,0.0,0.0,0.0,9.5,9,10,0,0
64,40,507.03405165333004,485.4335273683552,529.8023460241859,40.0,40,40,25.33063018321991,21.193437337875366,27.69396209716797,3.0,5.75,5,6,90.0,10.0
64,160,510.2128641203409,493.56592271070434,518.3453938629771,143.0,92,160,97.24040192365646,59.672527551651,112.4183464050293,4.0,5.25,5,6,68.5315,31.4685
64,640,471.71329524875694,452.34473387491755,494.7552248048597,506.0,336,640,323.03962540626526,204.58709716796875,418.24807620048523,4.25,5.0,5,5,71.5909,28.4091
