size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,1114.4478771276674,1084.8286858450147,1134.65087322614,0.0,0,0,0.0,0.0,0.0,0.0,13.0,11,15,0,0
0,40,630.8553892209978,619.0241220837298,635.9301487331489,21.0,17,23,13.372556924819946,10.599186420440674,15.233091592788696,4.0,8.25,8,9,100.0,0.0
0,160,627.8214842916562,597.830079288788,647.6035558002038,25.0,19,36,15.4824937582016,11.37839150428772,21.19217586517334,4.25,8.0,7,9,100.0,0.0
0,640,619.1156599128346,602.7069265238456,641.3965296881232,20.0,18,24,12.414348661899567,11.26076340675354,14.742763042449951,5.25,8.25,8,9,100.0,0.0
4,0,1058.7648620553346,977.3061118812449,1145.069716346444,0.0,0,0,0.0,0.0,0.0,0.0,12.75,11,16,0,0
4,40,607.8415589078782,590.3084611426298,628.7563893643749,39.0,36,40,23.681483924388885,20.351779222488403,25.82318425178528,3.75,8.0,8,8,99.359,0.641
4,160,613.7510710423247,587.9038553130941,656.5593303732442,47.25,35,58,29.176361978054047,23.286741733551025,34.550554037094116,4.25,7.75,7,8,100.0,0.0
4,640,602.0987836684644,570.0336545127398,623.089189352915,52.5,38,64,31.839323103427887,23.581813097000122,40.24063205718994,5.75,7.75,7,8,99.0476,0.9524
16,0,1138.4585852419884,1100.7406665482415,1181.5413582047045,0.0,0,0,0.0,0.0,0.0,0.0,13.75,13,14,0,0
16,40,633.0557989871128,611.4076177569184,668.9011323772239,40.0,40,40,24.34077364206314,22.051025390625,26.379032850265503,4.5,8.0,8,8,97.5,2.5
16,160,586.3486351625315,581.0260370505559,593.6304722307383,160.0,160,160,111.26266264915466,104.78059530258179,118.54053378105164,5.0,7.25,7,8,97.6562,2.3438
16,640,588.4736539559954,581.6788008068055,594.330252626454,229.25,163,327,158.61057037115097,123.93523478507996,247.55356550216675,4.75,7.25,7,8,98.2552,1.7448
64,0,1067.6039882930281,984.821979668404,1112.5539181140493,0.0,0,0,0.000249326229095459,0.0,0.000997304916381836,0.0,12.25,11,13,0,0
64,40,606.0925037283514,594.3615262791975,639.7049395689112,40.0,40,40,24.860669672489166,23.286062717437744,26.254592895507812,5.25,7.75,7,8,97.5,2.5
64,160,591.7845493803558,585.7979969576033,601.8685728815365,160.0,160,160,116.26301598548889,112.86733651161194,119.850426197052,4.0,7.75,7,8,89.8438,10.1562
