size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,1133.0478756597104,1117.7291281048972,1148.3666232145233,0.0,0,0,0.0,0.0,0.0,13.5,13,14,0,0
0,40,616.1795917196849,610.401780289836,621.9574031495339,23.0,22,24,17.820688486099243,16.192165851593018,19.44921112060547,8.5,8,9,100.0,0.0
0,160,622.0876701451311,621.9574031495339,622.2179371407283,25.0,24,26,16.518089652061462,16.30735445022583,16.728824853897095,8.5,8,9,100.0,0.0
4,0,1216.3893075554115,1175.4069148055855,1257.3717003052375,0.0,0,0,0.0,0.0,0.0,15.0,14,16,0,0
4,40,622.791789522729,622.2173791747159,623.3661998707422,32.0,28,36,21.37349498271942,18.111858367919922,24.63513159751892,8.5,8,9,100.0,0.0
4,160,594.3593486726928,592.7830569176033,595.9356404277823,55.0,48,62,48.7316255569458,33.496745109558105,63.966506004333496,8.0,8,8,97.2727,2.7273
16,0,1192.3849925979828,1145.968823307499,1238.8011618884666,0.0,0,0,0.0,0.0,0.0,13.5,13,14,0,0
16,40,621.0367224551146,618.707245039487,623.3661998707422,40.0,40,40,42.70141863822937,41.098615884780884,44.304221391677856,8.0,8,8,98.75,1.25
16,160,583.5478831741577,582.3971072657754,584.6986590825401,160.0,160,160,165.8666876554489,148.41297149658203,183.3204038143158,7.0,7,7,98.125,1.875
