size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%),
0,0,1162.6488290325635,1150.2271289545822,1175.0705291105448,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.5,15.5,0.0,0.0,
0,40,660.3368767094038,646.6485957286211,674.0251576901865,21.5,20.5,22.5,15.467561066150665,14.375099539756775,16.560022592544556,9.25,9.0,9.5,100.0,0.0,
0,160,662.7776998672299,658.8029673566291,666.7524323778307,20.5,20.0,21.0,14.000269770622253,13.702041029930115,14.298498511314392,9.25,9.0,9.5,100.0,0.0,
4,0,1155.7165814250109,1118.5827191239487,1192.850443726073,0.0,0.0,0.0,0.0,0.0,0.0,14.75,14.0,15.5,0.0,0.0,
4,40,668.2486945744731,664.1419354954235,672.3554536535228,32.0,27.0,37.0,21.97006893157959,18.239869832992554,25.700268030166626,9.25,9.0,9.5,100.0,0.0,
4,160,638.570398799671,637.4676679788648,639.6731296204772,46.0,40.5,51.5,37.763791382312775,27.700350522994995,47.827232241630554,9.0,9.0,9.0,98.63635,1.36365,
16,0,1152.1591302734512,1114.574636016668,1189.7436245302345,0.0,0.0,0.0,0.0,0.0,0.0,13.75,13.0,14.5,0.0,0.0,
16,40,655.4361173862945,650.8013281034466,660.0709066691425,40.0,40.0,40.0,33.845129668712616,32.896936893463135,34.7933224439621,9.0,9.0,9.0,99.375,0.625,
16,160,638.8995066019231,632.482884881241,645.3161283226052,160.0,160.0,160.0,131.3782221674919,122.45198917388916,140.30445516109467,8.5,8.5,8.5,99.0625,0.9375,
