size_tabu,nb_iteration,avg,min,max
0,0,990.728743580171,981.461110414667,999.996376745675
0,100,416.6132135556509,394.2945820984383,438.9318450128635
0,200,412.43623030239473,408.992394240184,415.88006636460545
0,300,406.25765910308684,380.6364329065086,431.87888529966506
0,400,396.3280458414479,372.3955657040862,420.26052597880954
0,500,429.2088583610999,406.9631991549769,451.45451756722287
0,600,424.6161096635015,395.66089877498064,453.57132055202237
0,700,410.6204903754968,403.96488645868453,417.27609429230904
0,800,419.864814292187,412.5201622576874,427.2094663266867
0,900,434.1055197897101,433.51847676602574,434.6925628133945
0,1000,429.1673994601079,398.659211471273,459.6755874489428
0,1100,458.0309627005934,427.97426051971445,488.0876648814724
0,1200,408.81424482985767,398.91259358473303,418.71589607498237
0,1300,400.56621704002475,398.53386429790737,402.59856978214214
0,1400,441.77943657141225,434.581491001449,448.9773821413754
0,1500,422.9175231646584,383.3872290538118,462.447817275505
0,1600,405.95807474156123,394.29458209843824,417.6215673846842
0,1700,419.73928215046374,404.8970732994784,434.581491001449
0,1800,432.4331592030859,417.213096395275,447.65322201089685
0,1900,379.90247962749356,358.37230256826217,401.432656686725
2,0,1011.356056261998,992.9198237091533,1029.7922888148428
2,100,452.3833109314588,445.34663509744496,459.41998676547274
2,200,417.5655031392338,395.66089877498064,439.470107503487
2,300,415.62929966230774,395.66089877498064,435.59770054963485
2,400,429.0493084308066,423.51712586016424,434.581491001449
2,500,418.16960627781236,399.3085457738418,437.0306667817829
2,600,467.78956018502635,450.85326118166415,484.72585918838854
2,700,403.72195106886033,364.6235401729208,442.8203619647998
2,800,427.9799950756917,412.23743117181846,443.72255897956495
2,900,417.4991609055257,400.4168308096023,434.5814910014491
2,1000,428.45644686200586,411.56625862656676,445.34663509744496
2,1100,418.56767984784926,417.575470687941,419.5598890077576
2,1200,421.8866474877668,402.99061109021727,440.7826838853164
2,1300,409.8242396352575,395.66089877498064,423.9875804955344
2,1400,377.0166006716214,358.37230256826217,395.66089877498064
2,1500,452.58412254790346,430.1887733794017,474.97947171640516
2,1600,397.097381536444,395.66089877498064,398.53386429790737
