size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,1145.8236428829698,1131.4196472887597,1160.2276384771799,0.0,0,0,0.0,0.0,0.0,0.0,13.5,13,14,0,0
0,40,602.49488739635,591.6355401864623,613.3542346062377,24.0,21,27,15.437103867530823,13.592109441757202,17.282098293304443,3.5,8.0,8,8,100.0,0.0
0,160,604.6417675752402,586.6399532740687,622.6435818764118,20.5,18,23,12.841126680374146,11.614581108093262,14.06767225265503,4.0,8.0,8,8,100.0,0.0
4,0,1078.3913466251272,1057.535868079495,1099.2468251707594,0.0,0,0,0.0,0.0,0.0,0.0,12.0,11,13,0,0
4,40,626.3242146857399,619.2676530495208,633.3807763219588,40.0,40,40,24.140915513038635,24.068497896194458,24.213333129882812,4.0,8.5,8,9,100.0,0.0
4,160,602.6236639168043,585.7979969576035,619.4493308760051,48.5,33,64,30.563092708587646,22.059687852859497,39.066497564315796,5.0,8.5,8,9,100.0,0.0
16,0,1141.2369369996686,1126.484975522597,1155.9888984767401,0.0,0,0,0.0005376338958740234,0.0,0.0010752677917480469,0.0,12.0,12,12,0,0
16,40,605.5059953059467,587.6457907411511,623.3661998707422,40.0,40,40,23.61472523212433,23.595921277999878,23.63352918624878,4.0,8.0,8,8,100.0,0.0
16,160,608.7613945888922,592.4774965029276,625.0452926748568,145.5,131,160,95.60671699047089,77.18335962295532,114.03007435798645,5.0,7.5,7,8,97.5945,2.4055
