size_tabu,nb_iteration,avg,min,max,avg_iteration,min_iteration,max_iteration,avg_relocate (%),avg_2_opt (%)
0,0,1044.7026181874862,943.0846117550043,1105.7114016117566,0.0,0,0,0,0
0,40,409.2882124478762,394.29458209843824,439.05719218622903,28.125,20,35,99.1111,0.8889
0,160,416.9414616686447,394.29458209843824,449.9107044535971,28.25,24,31,98.6726,1.3274
0,640,425.7487947040914,395.66089877498064,494.87610726612496,26.875,21,31,98.1395,1.8605
4,0,995.3380489740084,912.9570987961746,1128.823605918553,0.0,0,0,0,0
4,40,408.0248996858064,358.37230256826217,435.2037990784912,39.75,39,40,94.9686,5.0314
4,160,413.5427083402844,364.878558620717,481.75216034513596,56.125,34,102,95.5457,4.4543
4,640,417.58716158264815,383.0311796255419,442.4417957463745,56.125,30,88,94.8775,5.1225
16,0,979.0316223191483,915.2746237843522,1038.236528446223,0.0,0,0,0,0
16,40,420.31023612408023,398.53386429790737,451.55836559875786,40.0,40,40,94.0625,5.9375
16,160,397.7086818109427,358.37230256826217,436.1925351828979,160.0,160,160,90.625,9.375
16,640,388.36662117540595,358.37230256826217,444.5260443767479,438.5,140,640,88.3694,11.6306
64,0,981.4326833229982,890.6781140428304,1062.7701921523171,0.0,0,0,0,0
64,40,413.5052863802211,358.37230256826217,443.4616435037294,40.0,40,40,96.875,3.125
64,160,406.2798849690072,365.54219456931304,422.433037959236,160.0,160,160,83.125,16.875
64,640,395.4032067023147,358.37230256826217,448.0162029613782,427.0,68,640,74.0925,25.9075
