size_tabu,nb_iteration,avg
0,0,989.946406085711
0,20,459.5353493053723
0,40,435.4070446281736
0,60,444.58249626769765
0,80,442.42376714084804
0,100,441.9217692922756
0,120,433.76733711268764
0,140,457.94986595553644
0,160,456.1989818517262
0,180,444.0706660794481
0,200,452.30800892409707
0,220,442.4878586999068
0,240,452.114381754272
0,260,453.4831432762559
0,280,441.3330545957721
0,300,441.76888893644644
0,320,446.64634063578296
0,340,446.7808217901978
0,360,450.2834381477449
0,380,455.51086344640936
0,400,439.9688391679946
0,420,461.42412133882834
0,440,460.0135844374395
0,460,446.09313898824075
0,480,455.9772925638998
0,500,441.3516501398675
0,520,439.2306705670795
0,540,455.91715381863776
0,560,446.67544478893126
0,580,446.6339587914828
