size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%),
0,0,109.38755978876709,109.27589147294016,109.49922810459402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.3,1.5,0.0,0.0,
0,40,68.7039142819594,68.20534548509409,69.20248307882471,1.95,1.7,2.2,1.2673895359039307,1.051384162902832,1.4833949089050293,0.6,1.0,1.0,1.0,10.0,0.0,
0,160,68.98874990897302,68.28954111674062,69.68795870120542,1.85,1.6,2.1,1.2148535132408143,1.0583067178726195,1.3714003086090087,0.65,1.0,1.0,1.0,10.0,0.0,
4,0,114.84897414857112,114.23616438066756,115.46178391647467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.3,1.6,0.0,0.0,
4,40,69.05283580718283,68.20534548509409,69.90032612927158,2.6,2.3,2.9,1.5434577345848084,1.4179331302642821,1.6689823389053344,0.35,1.0,1.0,1.0,10.0,0.0,
4,160,70.5173735060415,69.64904878801897,71.38569822406403,3.1,2.8,3.4,1.906484031677246,1.7623857736587525,2.0505822896957397,0.6,1.0,1.0,1.0,10.0,0.0,
16,0,116.68698321240959,110.99062312238507,122.38334330243408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.4,1.6,0.0,0.0,
16,40,68.36285101174488,68.20534548509409,68.52035653839567,4.0,4.0,4.0,2.292127537727356,2.2558367252349854,2.3284183502197267,0.5,1.0,1.0,1.0,10.0,0.0,
16,160,69.00953925047304,68.20534548509409,69.81373301585198,15.4,14.8,16.0,9.54365940093994,9.087223005294799,10.000095796585082,0.55,1.0,1.0,1.0,10.0,0.0,
